Traffic Update ID,Timestamp,Date,Time,Area,Location,Direction,Vehicle Count,Congestion Level,Average Speed (in km/h),Speed Level,Peak Hour?,Weather Condition,Visibility (in km),Visibility Level,Temperature (in °C),Temperature Level,Humidity (in %),Humidity Level,Wind Speed (in km/h),Wind Speed Level,Roadwork?,Traffic Signal Status,Accident Level
TUPD001,2021-01-01 00:00:00,2021-01-01,00:00:00,Banjara Hills,A,South,93,Extreme,44.0,Moderate,Yes,Foggy,3.0,Low,34.0,Warm,58.0,Moderate,7.0,Moderate,No,Working,Low
TUPD002,2021-01-01 01:00:00,2021-01-01,01:00:00,Ameerpet,D,South,3,Minimal,85.0,Extreme,Yes,Foggy,5.0,Moderate,29.0,Warm,22.0,Low,10.0,Moderate,No,Not Working,Moderate
TUPD003,2021-01-01 02:00:00,2021-01-01,02:00:00,Begumpet,B,East,98,Extreme,52.0,Moderate,No,Windy,9.0,High,25.0,Moderate,61.0,High,6.0,Moderate,Yes,Working,High
TUPD004,2021-01-01 03:00:00,2021-01-01,03:00:00,Nallakunta,A,North,42,Moderate,90.0,Extreme,No,Foggy,5.0,Moderate,24.0,Moderate,74.0,High,2.0,Light,No,Working,Moderate
TUPD005,2021-01-01 04:00:00,2021-01-01,04:00:00,Kondapur,D,North,77,High,67.0,High,No,Rainy,7.0,Moderate,33.0,Warm,46.0,Moderate,14.0,Strong,Yes,Not Working,High
TUPD006,2021-01-01 05:00:00,2021-01-01,05:00:00,Banjara Hills,D,South,21,Low,91.0,Extreme,Yes,Cloudy,5.0,Moderate,25.0,Moderate,54.0,Moderate,1.0,Light,Yes,Under Maintenance,Low
TUPD007,2021-01-01 06:00:00,2021-01-01,06:00:00,Banjara Hills,D,West,73,High,75.0,High,No,Rainy,7.0,Moderate,23.0,Moderate,89.0,High,0.0,Light,Yes,Not Working,None
TUPD008,2021-01-01 07:00:00,2021-01-01,07:00:00,Hitech City,D,North,0,Minimal,78.0,High,Yes,Foggy,5.0,Moderate,18.0,Cool,37.0,Low,15.0,Strong,Yes,Not Working,High
TUPD009,2021-01-01 08:00:00,2021-01-01,08:00:00,Gachibowli,B,South,10,Minimal,60.0,Moderate,Yes,Windy,9.0,High,25.0,Moderate,46.0,Moderate,2.0,Light,No,Under Maintenance,High
TUPD010,2021-01-01 09:00:00,2021-01-01,09:00:00,Banjara Hills,D,East,43,Moderate,96.0,Extreme,No,Sunny,2.0,Low,31.0,Warm,23.0,Low,4.0,Light,No,Working,None
TUPD011,2021-01-01 10:00:00,2021-01-01,10:00:00,Miyapur,B,East,58,Moderate,72.0,High,No,Foggy,8.0,High,26.0,Moderate,42.0,Moderate,3.0,Light,No,Not Working,Low
TUPD012,2021-01-01 11:00:00,2021-01-01,11:00:00,Miyapur,C,West,23,Low,54.0,Moderate,No,Windy,10.0,High,18.0,Cool,78.0,High,9.0,Moderate,No,Not Working,None
